LapNum,driverName,Position,sector1,sector2,sector3,Laptime,status
1,Jer.KK,1,28.995,28.954,41.886,1:39.835,Out Lap
2,Jer.KK,1,23.53,29.215,42.136,1:34.881,On Track
3,Jer.KK,1,23.472,28.977,42.264,1:34.713,On Track
4,Jer.KK,1,23.452,29.192,42.184,1:34.828,On Track
5,Jer.KK,1,23.697,29.19,42.109,1:34.996,On Track
6,Jer.KK,1,23.732,29.252,42.32,1:35.304,On Track
7,Jer.KK,1,23.709,29.221,42.145,1:35.075,On Track
8,Jer.KK,1,23.689,29.257,42.335,1:35.281,On Track
9,Jer.KK,1,23.844,29.232,42.457,1:35.533,On Track
10,Jer.KK,1,23.656,29.212,42.41,1:35.278,On Track
11,Jer.KK,1,23.682,29.258,42.467,1:35.407,On Track
12,Jer.KK,1,23.577,29.269,42.472,1:35.318,On Track
13,Jer.KK,1,23.807,29.327,42.596,1:35.730,On Track
14,Jer.KK,1,23.686,29.46,42.537,1:35.683,On Track
15,Jer.KK,4,23.732,29.29,01:01.7,1:54.702,In Lap
16,Jer.KK,4,26.606,28.842,41.792,1:37.240,Out Lap
17,Jer.KK,4,23.428,28.861,41.744,1:34.033,On Track
18,Jer.KK,3,23.249,28.585,41.528,1:33.362,On Track
19,Jer.KK,3,23.284,28.946,41.897,1:34.127,On Track
20,Jer.KK,3,23.492,29.026,42.171,1:34.689,On Track
21,Jer.KK,3,23.463,29.084,41.959,1:34.506,On Track
22,Jer.KK,3,23.464,28.745,42.531,1:34.740,On Track
23,Jer.KK,3,23.464,28.745,42.531,1:34.740,On Track
24,Jer.KK,2,23.544,29.157,41.956,1:34.657,On Track
25,Jer.KK,2,23.609,29.004,41.657,1:34.270,On Track
26,Jer.KK,2,23.434,28.899,41.705,1:34.038,On Track
27,Jer.KK,2,23.393,29.037,41.849,1:34.279,On Track
28,Jer.KK,2,23.564,28.999,41.707,1:34.270,On Track
29,Jer.KK,2,23.401,28.975,41.929,1:34.305,On Track
30,Jer.KK,2,23.613,28.974,41.821,1:34.408,On Track
31,Jer.KK,2,23.455,28.993,42.116,1:34.564,On Track
32,Jer.KK,2,23.73,29.062,41.897,1:34.689,On Track
33,Jer.KK,2,23.707,29.154,41.921,1:34.782,On Track
34,Jer.KK,1,23.816,28.968,41.817,1:34.601,On Track
35,Jer.KK,1,23.744,29.014,41.813,1:34.571,On Track
36,Jer.KK,1,23.576,28.945,41.857,1:34.378,On Track
37,Jer.KK,3,23.535,29.243,01:01.9,1:54.695,In Lap
38,Jer.KK,4,26.117,28.542,40.962,1:35.621,Out Lap
39,Jer.KK,4,22.901,28.302,41.177,1:32.380,On Track
40,Jer.KK,3,23.139,28.238,41.006,1:32.383,On Track
41,Jer.KK,3,23.085,28.212,41.004,1:32.301,On Track
42,Jer.KK,3,22.983,28.65,41.048,1:32.681,On Track
43,Jer.KK,3,23.113,28.476,41.224,1:32.813,On Track
44,Jer.KK,1,23.184,28.146,41.045,1:32.375,On Track
45,Jer.KK,1,22.941,28.469,41.124,1:32.534,On Track
46,Jer.KK,1,23.196,28.551,41.238,1:32.985,On Track
47,Jer.KK,1,23.013,28.492,41.086,1:32.591,On Track
48,Jer.KK,1,22.949,28.467,41.08,1:32.496,On Track
49,Jer.KK,1,23.176,28.645,41.443,1:33.264,On Track
50,Jer.KK,1,23.132,28.64,41.319,1:33.091,On Track
51,Jer.KK,2,23.209,28.785,41.631,1:33.625,On Track
52,Jer.KK,2,22.937,28.161,40.856,1:31.954,On Track
53,Jer.KK,2,23,27.91,41.3,1:32.210,On Track
